time,tl_id,chosen_action,pressure,upstream_sum,active_veh
856.0,J1,0,1,1,32
856.0,J2,1,2,2,32
856.0,J3,0,1,1,32
856.0,J4,1,3,3,32
861.0,J1,0,1,1,33
861.0,J2,2,4,4,33
861.0,J3,1,4,4,33
861.0,J4,1,1,1,33
866.0,J1,1,1,1,33
866.0,J2,2,0,0,33
866.0,J3,1,0,0,33
866.0,J4,0,1,1,33
871.0,J1,1,2,2,34
871.0,J2,1,1,2,34
871.0,J3,0,2,2,34
871.0,J4,0,1,1,34
876.0,J1,3,1,1,32
876.0,J2,1,1,1,32
876.0,J3,0,1,1,32
876.0,J4,1,2,2,32
881.0,J1,3,1,1,32
881.0,J2,0,2,2,32
881.0,J3,3,2,2,32
881.0,J4,1,1,1,32
886.0,J1,0,1,1,32
886.0,J2,0,1,1,32
886.0,J3,3,2,2,32
886.0,J4,0,0,0,32
891.0,J1,0,2,2,33
891.0,J2,2,3,3,33
891.0,J3,1,3,3,33
891.0,J4,0,1,1,33
896.0,J1,1,1,1,30
896.0,J2,2,1,2,30
896.0,J3,1,0,0,30
896.0,J4,1,0,1,30
901.0,J1,1,3,3,33
901.0,J2,1,4,4,33
901.0,J3,0,1,1,33
901.0,J4,1,0,0,33
906.0,J1,2,2,2,32
906.0,J2,1,1,1,32
906.0,J3,0,0,0,32
906.0,J4,0,0,0,32
911.0,J1,2,3,3,30
911.0,J2,0,2,2,30
911.0,J3,3,1,1,30
911.0,J4,0,0,0,30
916.0,J1,3,3,3,30
916.0,J2,0,1,1,30
916.0,J3,3,2,2,30
916.0,J4,0,0,0,30
921.0,J1,3,1,1,32
921.0,J2,2,2,2,32
921.0,J3,1,4,4,32
921.0,J4,1,2,2,32
926.0,J1,1,1,1,32
926.0,J2,2,1,1,32
926.0,J3,1,0,0,32
926.0,J4,1,0,0,32
931.0,J1,1,2,2,34
931.0,J2,1,3,3,34
931.0,J3,0,1,1,34
931.0,J4,0,0,0,34
936.0,J1,2,2,2,31
936.0,J2,1,3,3,31
936.0,J3,0,0,0,31
936.0,J4,0,0,0,31
941.0,J1,2,3,3,30
941.0,J2,0,4,4,30
941.0,J3,1,1,1,30
